City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Lata,40.1629,-8.3327,56.05,73,0,3.22,PT,1636498363
Carnarvon,-24.8667,113.6333,62.67,77,2,9.22,AU,1636498363
Atuona,-9.8,-139.0333,78.75,74,3,16.82,PF,1636498364
Barcelona,41.3888,2.159,61.84,70,40,4.0,ES,1636498120
Lorengau,-2.0226,147.2712,83.21,80,26,13.56,PG,1636498366
Provideniya,64.3833,-173.3,19.51,73,0,4.47,RU,1636498367
East London,-33.0153,27.9116,60.19,85,0,8.14,ZA,1636498368
Port Augusta,-32.5,137.7667,59.14,64,82,15.12,AU,1636498369
Los Andes,-32.8337,-70.5983,71.37,55,3,6.42,CL,1636498370
Cape Town,-33.9258,18.4232,59.11,78,0,5.75,ZA,1636498283
Hithadhoo,-0.6,73.0833,82.87,73,69,20.11,MV,1636498371
Seoul,37.5683,126.9778,37.81,87,90,1.14,KR,1636498372
Solnechnyy,50.7214,136.6319,24.22,89,100,7.72,RU,1636498372
Bambous Virieux,-20.3428,57.7575,73.65,78,40,3.44,MU,1636498373
Hobart,-42.8794,147.3294,59.02,86,75,5.75,AU,1636498374
Inza,53.8533,46.3586,29.55,86,98,13.09,RU,1636498374
Jamestown,42.097,-79.2353,55.09,80,90,1.01,US,1636498375
Dikson,73.5069,80.5464,-3.87,98,29,4.74,RU,1636498375
Berdigestyakh,62.0989,126.6992,23.07,96,98,6.35,RU,1636498376
Mossamedes,-15.1961,12.1522,69.35,80,59,5.35,AO,1636498377
Aku,6.7081,7.3167,77.07,95,77,3.76,NG,1636498377
Srednekolymsk,67.45,153.6833,-22.04,98,10,3.89,RU,1636498378
Cocobeach,1.0002,9.5823,76.93,93,100,9.95,GA,1636498378
Butaritari,3.0707,172.7902,82.22,74,79,15.46,KI,1636498379
Cayenne,4.9333,-52.3333,79.09,86,90,1.99,GF,1636498379
Rikitea,-23.1203,-134.9692,75.38,78,93,18.5,PF,1636498380
Kirakira,-10.4544,161.9205,86.27,67,13,10.42,SB,1636498381
Mount Isa,-20.7333,139.5,85.77,54,27,12.66,AU,1636498382
Sundby,54.864,11.793,51.03,80,99,18.07,DK,1636498383
Atkarsk,51.8718,45.0078,36.97,82,95,15.01,RU,1636498383
Alofi,-19.0595,-169.9187,82.29,69,40,13.8,NU,1636498384
Bethanien,-26.502,17.1583,66.67,19,0,4.97,NA,1636498385
Hermanus,-34.4187,19.2345,57.9,75,37,2.51,ZA,1636498385
Robertsport,6.7533,-11.3686,80.65,82,97,9.89,LR,1636498386
Tuktoyaktuk,69.4541,-133.0374,12.2,92,75,9.22,CA,1636498386
New Norfolk,-42.7826,147.0587,58.66,81,100,1.28,AU,1636498387
Avarua,-21.2078,-159.775,78.85,73,75,14.97,CK,1636498388
Constitución,-35.3333,-72.4167,54.73,86,76,9.13,CL,1636498258
Saint Paul Harbor,57.79,-152.4072,31.89,77,63,3.58,US,1636498389
Nikolskoye,59.7035,30.7861,35.02,68,99,10.92,RU,1636498389
Khatanga,71.9667,102.5,2.37,94,100,11.5,RU,1636498390
Bredasdorp,-34.5322,20.0403,51.12,82,56,4.61,ZA,1636498391
Ribeira Grande,38.5167,-28.7,67.26,80,34,10.67,PT,1636498391
Coronado,32.6859,-117.1831,75.54,73,20,10.0,US,1636498392
Distrikt Brokopondo,4.75,-55.1667,78.73,77,100,4.88,SR,1636498393
Lompoc,34.6391,-120.4579,71.56,84,90,4.61,US,1636498393
Geraldton,-28.7667,114.6,54.12,94,0,5.75,AU,1636498394
Kavaratti,10.5669,72.642,81.61,69,100,8.41,IN,1636498395
Zyryanovsk,49.7386,84.2719,13.5,93,17,1.07,KZ,1636498395
Chihuahua,28.5,-106.0,75.2,21,8,4.7,MX,1636498396
Fort Nelson,58.8053,-122.7002,22.59,86,90,6.91,CA,1636498189
Airai,-8.9266,125.4092,68.09,79,39,0.72,TL,1636498397
Kahului,20.8947,-156.47,86.02,58,20,9.22,US,1636498398
Temple,31.0982,-97.3428,74.35,71,40,10.36,US,1636498398
Saryg-Sep,51.5,95.6,5.94,95,48,3.13,RU,1636498399
Bluff,-46.6,168.3333,59.88,75,100,5.19,NZ,1636498400
Santo Domingo,18.5001,-69.9886,83.03,77,20,3.0,DO,1636498400
Kavieng,-2.5744,150.7967,85.98,65,48,18.1,PG,1636498401
Bengkulu,-3.8004,102.2655,76.14,88,100,5.14,ID,1636498402
Andenes,69.3143,16.1194,39.18,87,90,23.02,NO,1636498402
Ayr,55.4627,-4.6339,53.51,87,75,12.66,GB,1636498403
Thai Binh,20.45,106.3333,66.2,68,5,7.81,VN,1636498404
San Policarpo,12.1791,125.5072,81.36,84,95,12.75,PH,1636498404
Mayo,38.8876,-76.5119,67.08,65,1,3.44,US,1636498233
Longyearbyen,78.2186,15.6401,31.84,64,40,17.27,SJ,1636498405
Makat,47.6469,53.3463,51.12,83,100,15.1,KZ,1636498406
Elmira,42.0898,-76.8077,59.88,75,90,4.61,US,1636498379
Loa Janan,-0.583,117.095,75.42,98,99,1.88,ID,1636498407
Guerrero Negro,27.9769,-114.0611,68.16,66,0,21.81,MX,1636498408
Karratha,-20.7377,116.8463,70.56,54,1,15.93,AU,1636498293
Grafton,42.207,-71.6856,58.48,72,3,3.94,US,1636498409
Palmer,42.1584,-72.3287,57.81,76,4,2.73,US,1636498410
Kabompo,-13.5927,24.2008,70.2,43,48,1.21,ZM,1636498410
Tasiilaq,65.6145,-37.6368,22.48,66,100,4.23,GL,1636498411
Pacific Grove,36.6177,-121.9166,65.07,86,98,5.99,US,1636498343
Bethel,41.3712,-73.414,60.67,67,1,0.0,US,1636498288
Petropavlovsk-Kamchatskiy,53.0452,158.6483,27.19,59,75,6.71,RU,1636498412
Poum,-20.2333,164.0167,76.93,77,100,4.21,NC,1636498413
Nelson Bay,-32.7167,152.15,73.11,79,100,1.01,AU,1636498413
Torbay,47.6666,-52.7314,40.39,92,20,5.75,CA,1636498414
Puerto Ayora,-0.7393,-90.3518,76.96,81,78,10.51,EC,1636498415
Eureka,40.8021,-124.1637,59.25,73,99,1.99,US,1636498415
Albany,42.6001,-73.9662,55.87,76,18,5.14,US,1636498125
Lubango,-14.9172,13.4925,63.84,72,95,5.12,AO,1636498416
Punta Arenas,-53.15,-70.9167,69.91,19,0,14.97,CL,1636498203
Manta,-0.95,-80.7333,76.78,78,75,10.36,EC,1636498417
Port Hueneme,34.1478,-119.1951,71.91,83,90,8.05,US,1636498418
Ostrovnoy,68.0531,39.5131,25.07,85,100,20.98,RU,1636498418
Moose Factory,51.2585,-80.6094,41.0,75,90,5.75,CA,1636498419
Bakloh,32.4667,75.9167,53.91,28,0,7.2,IN,1636498420
Aswān,24.0934,32.907,76.3,22,0,11.5,EG,1636498420
Bull Savanna,17.8868,-77.5902,76.28,80,66,1.52,JM,1636498421
Byron Bay,-28.65,153.6167,77.7,73,76,6.26,AU,1636498421
Paragominas,-2.9667,-47.4833,74.03,97,100,3.18,BR,1636498204
Vestmannaeyjar,63.4427,-20.2734,41.27,73,100,23.17,IS,1636498423
Luzhou,28.8724,105.4405,48.38,78,97,2.66,CN,1636498423
Saint-François,46.4154,3.9054,31.44,100,18,4.61,FR,1636498424
Camocim,-2.9022,-40.8411,80.28,75,30,17.0,BR,1636498285
Yulara,-25.2406,130.9889,69.64,100,90,6.91,AU,1636498426
Qaanaaq,77.484,-69.3632,1.22,69,33,7.05,GL,1636498427
Hasaki,35.7333,140.8333,59.29,66,4,18.12,JP,1636498427
Dābhol,17.6,73.1667,70.3,49,65,6.24,IN,1636498428
Esperance,-33.8667,121.9,55.24,55,100,14.16,AU,1636498428
Asău,46.4333,26.4,41.76,76,81,2.48,RO,1636498429
San Miguelito,9.0333,-79.5,81.55,80,40,4.0,PA,1636498429
Bubaque,11.2833,-15.8333,83.66,66,60,11.3,GW,1636498430
Lethem,3.3803,-59.7968,84.06,48,89,7.92,GY,1636498431
Huarmey,-10.0681,-78.1522,66.56,81,65,9.01,PE,1636498431
Richards Bay,-28.783,32.0377,64.78,81,94,5.79,ZA,1636498432
Avera,33.194,-82.5271,68.72,34,2,3.85,US,1636498433
Constantine,36.365,6.6147,49.41,76,40,11.5,DZ,1636498433
Morgan City,29.6994,-91.2068,71.6,64,1,0.0,US,1636498434
Kurisove,46.9695,30.9591,36.05,64,0,12.68,UA,1636498434
Nikolayevka,53.1257,47.2041,33.67,84,99,13.96,RU,1636498435
Talnakh,69.4865,88.3972,-1.57,97,99,5.97,RU,1636498435
Dzhalil',55.0239,52.7358,31.75,90,85,13.65,RU,1636498436
Kabinda,-6.1333,24.4833,71.33,71,54,3.18,CD,1636498437
Mahébourg,-20.4081,57.7,73.69,78,40,3.44,MU,1636498437
Vostok,46.4856,135.8833,29.73,91,95,1.88,RU,1636498438
Sitka,57.0531,-135.33,37.29,88,100,2.42,US,1636498439
Souillac,-20.5167,57.5167,73.78,78,40,3.44,MU,1636498440
Hamilton,39.1834,-84.5333,62.56,60,100,5.7,US,1636498441
Nizhniy Kuranakh,58.8353,125.4869,13.75,96,84,4.41,RU,1636498442
Marzuq,14.4,46.4667,66.31,29,20,3.58,YE,1636498443
Cumana,10.4635,-64.1775,86.09,79,22,13.42,VE,1636498443
Isugod,9.3408,118.1196,79.5,86,100,4.76,PH,1636498444
Antalaha,-14.9003,50.2788,73.0,93,15,3.6,MG,1636498445
Paoua,7.2427,16.4406,72.97,73,40,4.16,CF,1636498445
Port Elizabeth,-33.918,25.5701,53.89,94,0,3.44,ZA,1636498446
Teya,60.3778,92.6267,29.28,94,100,10.51,RU,1636498447
Hambantota,6.1241,81.1185,76.62,89,100,9.62,LK,1636498447
Cidreira,-30.1811,-50.2056,64.24,72,3,7.14,BR,1636498448
Sungai Raya,0.7,108.9,77.99,87,94,5.17,ID,1636498449
Pisco,-13.7,-76.2167,68.05,73,0,21.85,PE,1636498450
Quatre Cocos,-20.2078,57.7625,73.51,74,26,9.93,MU,1636498451
Lebu,-37.6167,-73.65,55.02,80,66,7.52,CL,1636498451
Algiers,36.7525,3.042,55.22,88,40,11.5,DZ,1636498273
Saskylakh,71.9167,114.0833,-15.16,100,74,5.64,RU,1636498452
Shumyachi,53.8583,32.4242,28.94,82,94,4.18,RU,1636498453
Muzhi,65.3667,64.6667,8.6,91,98,9.51,RU,1636498454
Havre-St-Pierre,50.2334,-63.5986,44.6,81,1,9.22,CA,1636498454
Nazarovo,56.0064,90.3914,16.5,84,84,5.7,RU,1636498455
Carbonia,39.1672,8.5222,57.85,91,99,7.34,IT,1636498456
Puerto Escondido,15.85,-97.0667,81.81,67,83,3.38,MX,1636498456
Kaitangata,-46.2817,169.8464,60.75,70,100,5.48,NZ,1636498457
Ishigaki,24.3448,124.1572,66.33,63,75,8.05,JP,1636498457
Shizunai-furukawachō,42.3339,142.3669,51.19,89,100,22.53,JP,1636498458
Bella Union,-30.2752,-57.6007,72.63,44,6,10.4,UY,1636498459
Rawson,-43.3002,-65.1023,60.04,42,0,26.84,AR,1636498459
Vuktyl,63.8567,57.3094,15.13,91,35,7.36,RU,1636498460
Upernavik,72.7868,-56.1549,12.38,88,99,11.92,GL,1636498461
Purnia,25.7833,87.4667,66.49,68,5,0.58,IN,1636498461
Taoudenni,22.6783,-3.9836,66.58,15,100,9.86,ML,1636498462
Kiryat Gat,31.61,34.7642,72.39,34,4,3.85,IL,1636498462
Ambovombe,-25.1667,46.0833,72.12,73,24,7.56,MG,1636498463
Yangi Marg`ilon,40.4272,71.7189,40.42,70,75,6.91,UZ,1636498464
La Santisima Trinidad,-14.8333,-64.9,91.38,55,75,0.0,BO,1636498464
White Rock,49.0164,-122.8026,48.0,86,100,8.99,CA,1636498465
Bilāsipāra,26.232,90.2347,63.07,78,3,6.38,IN,1636498465
Huaral,-11.495,-77.2078,64.33,79,76,5.82,PE,1636498466
Quang Ngai,15.1167,108.8,72.3,96,100,7.16,VN,1636498434
Termez,37.2242,67.2783,46.49,87,90,2.3,UZ,1636498468
Al Bardīyah,31.7561,25.0865,70.29,82,100,8.43,LY,1636498468
North Bend,43.4065,-124.2243,56.25,76,40,12.66,US,1636498469
Fort-Shevchenko,44.5086,50.263,54.14,83,93,26.24,KZ,1636498470
Khāsh,28.2211,61.2158,49.46,53,0,4.65,IR,1636498470
Tiksi,71.6872,128.8694,6.69,95,100,4.7,RU,1636498471
Kuusamo,65.9667,29.1833,24.84,93,90,10.36,FI,1636498472
Boyolangu,-8.1181,111.8935,76.93,89,100,2.77,ID,1636498472
City of San Pedro,14.35,121.0167,80.15,76,75,2.3,PH,1636498473
Bima,-8.4667,118.7167,82.02,82,99,3.38,ID,1636498474
San Cristobal,7.7669,-72.225,71.78,97,82,0.31,VE,1636498474
Mbandaka,0.0487,18.2603,71.42,97,99,2.04,CD,1636498475
Meulaboh,4.1363,96.1285,76.44,88,100,2.75,ID,1636498475
Strelka,58.0728,93.0344,25.41,90,100,5.91,RU,1636498476
Tura,25.5198,90.2201,61.48,78,7,3.44,IN,1636498477
Aitape,-3.1374,142.3475,84.6,73,44,6.38,PG,1636498478
Pevek,69.7008,170.3133,3.83,95,100,4.88,RU,1636498478
Inndyr,67.0338,14.0276,42.84,88,95,16.15,NO,1636498479
Cherskiy,68.75,161.3,-4.94,100,88,3.85,RU,1636498480
Chicama,-7.8447,-79.1469,64.94,75,56,8.12,PE,1636498481
Maxixe,-23.8597,35.3472,73.31,78,91,14.41,MZ,1636498481
Shimoda,34.6667,138.95,58.1,61,33,30.8,JP,1636498482
Lázaro Cárdenas,17.9583,-102.2,82.62,75,3,7.67,MX,1636498482
Behshahr,36.6923,53.5526,53.73,42,0,5.7,IR,1636498483
Katsuura,35.1333,140.3,63.19,58,21,27.85,JP,1636498484
Sur,22.5667,59.5289,75.85,56,1,4.54,OM,1636498484
Carupano,10.6678,-63.2585,77.4,79,16,9.44,VE,1636498485
Barrow,71.2906,-156.7887,21.22,79,90,10.36,US,1636498258
Thompson,55.7435,-97.8558,30.36,80,90,13.8,CA,1636498282
Diu,20.7141,70.9822,75.42,42,87,12.06,IN,1636498486
Paamiut,61.994,-49.6678,10.9,66,3,7.31,GL,1636498487
Alyangula,-13.8483,136.4192,85.87,74,37,9.22,AU,1636498487
West Plains,36.7281,-91.8524,67.68,72,40,4.61,US,1636498320
Cabo San Lucas,22.8909,-109.9124,87.06,66,100,3.0,MX,1636498475
Lárdos,36.0942,28.0157,67.95,68,100,8.77,GR,1636498488
Boende,-0.2167,20.8667,73.02,94,100,2.64,CD,1636498490
Polovinnoye,54.7914,65.9864,36.25,97,100,13.0,RU,1636498490
Nikolayevsk-on-Amur,53.1406,140.73,32.47,99,100,1.61,RU,1636498491
Lüderitz,-26.6481,15.1594,61.27,63,0,18.07,NA,1636498491
San Patricio,28.017,-97.5169,80.69,60,100,11.5,US,1636498492
Libenge,3.65,18.6333,73.6,91,82,1.32,CD,1636498493
Vila Franca do Campo,37.7167,-25.4333,69.19,84,96,13.44,PT,1636498493
Vestmanna,62.1564,-7.1664,41.92,65,75,14.97,FO,1636498494
Tilichiki,60.4667,166.1,9.34,93,14,5.97,RU,1636498495
Lebedyn,50.5852,34.4849,28.83,74,40,11.39,UA,1636498495
Den Helder,52.9599,4.7593,51.98,95,90,14.0,NL,1636498496
Wadi Maliz,36.4681,8.5495,57.65,51,61,3.53,TN,1636498496
Batagay,67.6333,134.6333,4.5,92,99,4.52,RU,1636498497
Moa,20.6569,-74.9403,76.6,87,58,8.86,CU,1636498498
Businga,3.3333,20.8833,72.68,98,95,3.2,CD,1636498498
Atar,20.5169,-13.0499,77.09,17,86,6.76,MR,1636498499
Eyl,7.9803,49.8164,77.54,79,22,11.92,SO,1636498499
Gizo Government Station,-8.103,156.8419,84.85,68,66,5.7,SB,1636498501
Oranjestad,12.524,-70.027,84.15,74,40,14.97,AW,1636498249
Wagar,16.1525,36.2032,79.14,64,42,12.39,SD,1636498502
Żurrieq,35.8311,14.4742,69.31,88,75,20.71,MT,1636498503
Saýat,38.7839,63.8803,35.47,73,0,5.97,TM,1636498504
Pangnirtung,66.1451,-65.7125,12.2,62,20,2.3,CA,1636498505
Progreso,21.2833,-89.6667,79.11,57,65,11.54,MX,1636498506
Kampene,-3.6,26.6667,69.82,86,99,2.57,CD,1636498506
Piaçabuçu,-10.4056,-36.4344,78.42,80,36,13.02,BR,1636498507
Hammerfest,70.6634,23.6821,27.05,74,0,3.44,NO,1636498508
Oussouye,12.485,-16.5469,78.98,71,42,7.23,SN,1636498508
Maragogi,-9.0122,-35.2225,77.72,80,56,8.7,BR,1636498509
Nemuro,43.3236,145.575,55.42,95,100,44.47,JP,1636498510
Ubari,26.5921,12.7805,66.22,25,2,5.97,LY,1636498510
Broome,42.2506,-75.833,58.84,76,70,1.01,US,1636498511
Hualmay,-11.0964,-77.6139,65.93,80,82,9.64,PE,1636498512
Ponta do Sol,32.6667,-17.1,70.43,71,5,4.25,PT,1636498512
Conversano,40.9662,17.1148,62.83,86,85,5.3,IT,1636498513
The Pas,53.8251,-101.2541,32.02,64,1,9.22,CA,1636498513
Caravelas,-17.7125,-39.2481,76.05,85,95,5.1,BR,1636498514
Port Hardy,50.6996,-127.4199,46.4,87,75,10.36,CA,1636498514
Beringovskiy,63.05,179.3167,17.64,99,91,5.44,RU,1636498515
Tari,12.4086,4.4914,84.06,27,2,6.26,NG,1636498516
Mishan,45.55,131.8833,27.86,59,13,3.78,CN,1636498517
Neya,58.2972,43.8681,25.7,73,33,8.12,RU,1636498517
Bluefield,37.2698,-81.2223,66.24,52,78,5.26,US,1636498332
Defiance,41.3334,-84.45,57.4,71,100,3.6,US,1636498518
Puerto del Rosario,28.5004,-13.8627,67.75,68,20,11.5,ES,1636498519
Yanam,16.7333,82.2167,73.54,77,98,5.57,IN,1636498520
Londoko,49.0333,131.9833,29.25,98,99,1.25,RU,1636498520
Sumé,-7.6717,-36.88,77.74,59,72,19.48,BR,1636498521
Kasongo-Lunda,-6.4667,16.8167,70.29,98,100,1.59,CD,1636498522
Dandong,40.1292,124.3947,31.62,73,80,7.4,CN,1636498522
Veliki Crljeni,44.4675,20.2844,41.04,87,29,4.94,RS,1636498523
Salalah,17.0151,54.0924,77.22,47,18,2.55,OM,1636498524
Namatanai,-3.6667,152.4333,85.21,67,97,11.39,PG,1636498524
Ossora,59.2353,163.0719,13.01,82,57,4.76,RU,1636498525
Fortuna,40.5982,-124.1573,59.18,69,90,1.99,US,1636498526
Aborlan,9.4352,118.5492,80.4,87,100,6.53,PH,1636498527
Villarrobledo,39.2699,-2.6012,46.78,68,0,9.04,ES,1636498527
Zhigansk,66.7697,123.3711,18.48,95,100,10.83,RU,1636498528
Aklavik,68.2191,-135.0107,16.52,97,95,5.03,CA,1636498529
Indramayu,-6.3264,108.32,81.9,70,100,1.59,ID,1636498529
Ambilobe,-13.2,49.05,75.11,85,13,3.71,MG,1636498530
Mbanza-Ngungu,-5.25,14.8667,69.6,92,100,3.02,CD,1636498531
Talaya,61.3833,152.75,-11.29,84,3,2.01,RU,1636498531
Vao,-22.6667,167.4833,73.8,80,100,2.84,NC,1636498532
Banamba,13.55,-7.45,81.63,21,43,8.61,ML,1636498533
Tevriz,57.509,72.4042,32.05,97,100,8.7,RU,1636498533
Along,28.1667,94.7667,54.0,65,2,1.72,IN,1636498534
Longyan,25.1072,117.0225,47.73,60,56,3.47,CN,1636498534
Laas,46.6166,10.7002,36.63,73,82,1.74,IT,1636498535
Ramos Arizpe,25.55,-100.9667,78.84,45,90,6.71,MX,1636498536
Jumla,29.2747,82.1838,41.76,35,0,5.03,NP,1636498536
Seryshevo,51.0933,128.3786,22.06,95,100,9.82,RU,1636498537
Yellowknife,62.456,-114.3525,25.41,99,90,9.22,CA,1636498537
Bandarbeyla,9.4942,50.8122,78.55,77,29,15.7,SO,1636498538
Ngunguru,-35.6167,174.5,65.97,67,99,8.21,NZ,1636498539
Krutaya Gorka,55.3649,73.2231,33.48,61,96,14.34,RU,1636498540
Acapulco de Juárez,16.8634,-99.8901,82.53,77,44,7.61,MX,1636498540
Port Shepstone,-30.7414,30.455,62.06,80,7,5.12,ZA,1636498541
Comodoro Rivadavia,-45.8667,-67.5,84.06,18,0,17.27,AR,1636498541
Sakakah,29.9697,40.2064,58.57,17,0,4.99,SA,1636498542
Zheleznodorozhnyy,55.7503,38.0042,28.36,73,65,7.76,RU,1636498543
Port Lincoln,-34.7333,135.8667,56.75,54,96,19.73,AU,1636498543
Victor Harbor,-35.5667,138.6167,60.73,61,99,1.01,AU,1636498544
Jinchang,38.4953,102.1739,28.17,40,0,1.59,CN,1636498545
Ternate,0.8,127.4,81.43,80,78,4.79,ID,1636498545
Nazas,25.2333,-104.1333,80.76,18,100,3.91,MX,1636498546
Tiarei,-17.5333,-149.3333,82.42,77,50,14.94,PF,1636498546
Ahipara,-35.1667,173.1667,67.32,60,100,4.12,NZ,1636498547
Minna,9.6139,6.5569,80.31,83,0,4.61,NG,1636498548
Berkovica,44.6156,18.4294,39.51,94,84,3.4,BA,1636498548
Vanavara,60.34,102.2797,24.96,93,100,9.48,RU,1636498549
Morro Bay,35.3658,-120.8499,67.82,92,100,1.01,US,1636498549
Baghdad,33.3406,44.4009,55.31,41,0,2.3,IQ,1636498466
Muriwai Beach,-36.8167,174.45,72.95,62,97,5.66,NZ,1636498450
Todos Santos,23.45,-110.2167,85.1,77,100,11.59,MX,1636498551
Pathein,16.7833,94.7333,74.01,94,96,4.92,MM,1636498551
Afzalpur,17.2,76.35,66.11,56,96,6.73,IN,1636498552
Kuala Lipis,4.1842,102.0468,74.32,98,100,0.81,MY,1636498553
Akureyri,65.6835,-18.0878,30.13,100,90,0.0,IS,1636498553
Tessalit,20.1986,1.0114,66.85,15,98,9.42,ML,1636498554
Pedernales,18.0384,-71.744,80.19,76,34,4.38,DO,1636498554
Ituporanga,-27.4144,-49.6025,62.53,92,46,4.03,BR,1636498555
Departamento de Maldonado,-34.6667,-54.9167,61.99,91,11,6.71,UY,1636498556
Saint-Augustin,51.226,-58.6502,43.48,97,100,12.19,CA,1636498557
Kendari,-3.945,122.4989,78.71,90,100,1.97,ID,1636498557
Niquero,20.0431,-77.5828,77.05,82,95,16.82,CU,1636498558
Sri Aman,1.2376,111.4621,75.25,100,99,0.0,MY,1636498559
Gashua,12.871,11.0482,81.59,16,0,8.61,NG,1636498559
Etah,27.6333,78.6667,65.34,47,2,4.52,IN,1636498560
Solano,38.2333,-121.9511,65.71,75,90,6.91,US,1636498560
Angoche,-16.2325,39.9086,78.62,78,4,12.17,MZ,1636498561
Camacha,33.0833,-16.3333,66.96,60,40,2.3,PT,1636498562
La Ronge,55.1001,-105.2842,26.85,74,75,4.61,CA,1636498563
Bentiu,9.2333,29.8333,79.27,63,100,7.38,SS,1636498456
Shakawe,-18.3667,21.85,75.79,50,28,6.82,BW,1636498564
Kumul,42.8,93.45,25.23,56,0,5.17,CN,1636498565
Bathsheba,13.2167,-59.5167,81.21,69,20,13.8,BB,1636498565
Moundsville,39.9203,-80.7431,59.74,75,99,4.41,US,1636498566
Tiznit Province,29.5833,-9.5,55.13,59,0,0.81,MA,1636498567
Coyhaique,-45.5752,-72.0662,71.55,33,20,8.05,CL,1636498567
Sédhiou,12.7081,-15.5569,78.93,53,35,4.97,SN,1636498456
Xuchang,34.0167,113.8167,49.08,46,0,9.51,CN,1636498569
Denpasar,-8.65,115.2167,80.26,83,20,1.14,ID,1636498303
Lampa,-33.2833,-70.9,72.43,43,0,16.11,CL,1636498569
Ryōtsu-minato,38.0833,138.4333,51.76,78,90,16.2,JP,1636498570
Ilulissat,69.2167,-51.1,-6.97,73,8,7.43,GL,1636498571
Kapuskasing,49.4169,-82.4331,42.89,52,20,8.05,CA,1636498571
Muhafazat Lahij,13.1667,44.5833,74.1,68,62,3.24,YE,1636498572
Laguna,38.421,-121.4238,63.46,80,90,1.01,US,1636498572
Sittwe,20.15,92.9,76.78,85,20,5.23,MM,1636498573
Morant Bay,17.8815,-76.4093,85.62,84,78,10.65,JM,1636498574
Øksfjord,70.2396,22.3479,28.47,85,93,8.95,NO,1636498574
Inhambane,-23.865,35.3833,73.56,79,91,15.7,MZ,1636498575
Severo-Kuril'sk,50.6789,156.125,37.96,73,100,9.53,RU,1636498575
Saquarema,-22.92,-42.5103,68.02,89,100,8.63,BR,1636498576
Grindavik,63.8424,-22.4338,37.87,87,75,13.8,IS,1636498577
Berlevåg,70.8578,29.0864,26.56,81,100,16.98,NO,1636498577
Maceió,-9.6658,-35.7353,80.04,89,40,5.75,BR,1636498578
Portalegre,39.2938,-7.4312,49.5,62,0,4.5,PT,1636498578
Cernay,47.8097,7.177,40.73,83,96,2.8,FR,1636498579
Conceição da Barra,-18.5933,-39.7322,75.67,86,100,5.57,BR,1636498580
Narsaq,60.9167,-46.05,6.19,74,3,5.79,GL,1636498581
Konyshevka,51.8418,35.2941,26.28,71,19,10.11,RU,1636498582
Kutum,14.2,24.6667,72.21,25,13,2.59,SD,1636498583
Sorrento,40.626,14.3744,67.08,43,100,11.88,IT,1636498583
Machilipatnam,16.1667,81.1333,73.47,77,97,9.17,IN,1636498584
Baiyin,36.5583,104.2081,14.88,34,0,2.28,CN,1636498584
Mehrān,33.1222,46.1646,58.48,25,1,3.56,IR,1636498585
Norrtälje,59.758,18.705,47.43,95,100,10.69,SE,1636498586
Banugao,14.7333,121.6333,84.49,91,100,8.7,PH,1636498586
Synya,65.3718,58.0387,8.55,98,76,3.89,RU,1636498587
